"module","domain","method","kind","sourceFile","line","status","priority","notes"
"MAINV","","HelloWorld","FUNCTION","MAINV.PRG","55","todo","",""
"MAINV","","matwc","FUNCTION","MAINV.PRG","75","todo","",""
"MAINV","","matret","FUNCTION","MAINV.PRG","124","todo","",""
"MAINV","","matret_WG","FUNCTION","MAINV.PRG","369","todo","",""
"MPAGENT","Agents","Agentswc","FUNCTION","MPAGENT.PRG","33","todo","",""
"MPAGENT","Agents","agenteditwc","FUNCTION","MPAGENT.PRG","127","todo","",""
"MPAGENT","Agents","agentEditRet","FUNCTION","MPAGENT.PRG","238","todo","",""
"MPAGENT","Agents","findagent","FUNCTION","MPAGENT.PRG","414","todo","",""
"MPAGENT","Agents","findcompany","FUNCTION","MPAGENT.PRG","453","todo","",""
"MPAGENT","Agents","deleteagent","FUNCTION","MPAGENT.PRG","494","todo","",""
"MPAGENT","Agents","tagentlist","FUNCTION","MPAGENT.PRG","533","todo","",""
"MPAGENT","Agents","agprocesswc","FUNCTION","MPAGENT.PRG","597","todo","",""
"MPAGENT","Agents","AgProcessRet","FUNCTION","MPAGENT.PRG","693","todo","",""
"MPAGENT","Agents","agprocessautoret","FUNCTION","MPAGENT.PRG","1253","todo","",""
"MPAGENT","Agents","assignbookret","FUNCTION","MPAGENT.PRG","1401","todo","",""
"MPAGENT","Agents","agentpaywc","FUNCTION","MPAGENT.PRG","1502","todo","",""
"MPAGENT","Agents","agentpayret","FUNCTION","MPAGENT.PRG","1662","todo","",""
"MPAGENT","Agents","recalculateagentpay","PROCEDURE","MPAGENT.PRG","1840","todo","",""
"MPAGENT","Agents","agentpaylist","FUNCTION","MPAGENT.PRG","1954","todo","",""
"MPAGENT","Agents","aglogin","FUNCTION","MPAGENT.PRG","2040","todo","",""
"MPAGENT","Agents","agloginret","FUNCTION","MPAGENT.PRG","2116","todo","",""
"MPAGENT","Agents","viewassign","FUNCTION","MPAGENT.PRG","2195","todo","",""
"MPAGENT","Agents","agboardvip","FUNCTION","MPAGENT.PRG","2428","todo","",""
"MPAGENT","Agents","loadsboard","FUNCTION","MPAGENT.PRG","2595","todo","",""
"MPAGENT","Agents","loadsboardret","FUNCTION","MPAGENT.PRG","2643","todo","",""
"MPAGENT","Agents","agesignret","FUNCTION","MPAGENT.PRG","2678","todo","",""
"MPAGENT","Agents","agentbolremwc","FUNCTION","MPAGENT.PRG","2718","todo","",""
"MPAGENT","Agents","agentbolremret","FUNCTION","MPAGENT.PRG","2768","todo","",""
"MPAGENT","Agents","AGENTXML","FUNCTION","MPAGENT.PRG","2824","todo","",""
"MPAGENT","Agents","indexdirectory","FUNCTION","MPAGENT.PRG","2855","todo","",""
"MPCHARGE","Billing / card & e-check","chargeswc","FUNCTION","MPCHARGE.PRG","32","todo","",""
"MPCHARGE","Billing / card & e-check","chargesret","FUNCTION","MPCHARGE.PRG","1252","todo","",""
"MPCHARGE","Billing / card & e-check","crgautowc","FUNCTION","MPCHARGE.PRG","2065","todo","",""
"MPCHARGE","Billing / card & e-check","CrgAutoProRet","FUNCTION","MPCHARGE.PRG","2588","todo","",""
"MPCHARGE","Billing / card & e-check","SelectAutoWc","FUNCTION","MPCHARGE.PRG","2950","todo","",""
"MPCHARGE","Billing / card & e-check","SelectAutoRet","FUNCTION","MPCHARGE.PRG","3028","todo","",""
"MPCHARGE","Billing / card & e-check","DeleteAuto","FUNCTION","MPCHARGE.PRG","3228","todo","",""
"MPCHARGE","Billing / card & e-check","ServicesWc","FUNCTION","MPCHARGE.PRG","3276","todo","",""
"MPCHARGE","Billing / card & e-check","ServicesRet","FUNCTION","MPCHARGE.PRG","3327","todo","",""
"MPCHARGE","Billing / card & e-check","jobonhold","FUNCTION","MPCHARGE.PRG","3428","todo","",""
"MPCHARGE","Billing / card & e-check","bookingcrg","FUNCTION","MPCHARGE.PRG","3473","todo","",""
"MPCHARGE","Billing / card & e-check","LAGOONBOOK","FUNCTION","MPCHARGE.PRG","3735","todo","",""
"MPCHARGE","Billing / card & e-check","ALLCOASTMOBOOK","FUNCTION","MPCHARGE.PRG","3811","todo","",""
"MPCHARGE","Billing / card & e-check","LIDSLGBOOKED","FUNCTION","MPCHARGE.PRG","3853","todo","",""
"MPCHARGE","Billing / card & e-check","switchcflbs","FUNCTION","MPCHARGE.PRG","3903","todo","",""
"MPCHARGE","Billing / card & e-check","switchtype","FUNCTION","MPCHARGE.PRG","4003","todo","",""
"MPCHARGE","Billing / card & e-check","TransferGmoveJobWC","FUNCTION","MPCHARGE.PRG","4142","todo","",""
"MPCHARGE","Billing / card & e-check","upduserwcXXXX","FUNCTION","MPCHARGE.PRG","4182","todo","",""
"MPCHARGE","Billing / card & e-check","upduserwc","FUNCTION","MPCHARGE.PRG","4336","todo","",""
"MPCHARGE","Billing / card & e-check","updagentwc","FUNCTION","MPCHARGE.PRG","4380","todo","",""
"MPCHARGE","Billing / card & e-check","updagentret","FUNCTION","MPCHARGE.PRG","4518","todo","",""
"MPCHARGE","Billing / card & e-check","emailtoagent","FUNCTION","MPCHARGE.PRG","4563","todo","",""
"MPCHARGE","Billing / card & e-check","IDEALMOVAGENT","FUNCTION","MPCHARGE.PRG","4623","todo","",""
"MPCHARGE","Billing / card & e-check","fustatuswc","FUNCTION","MPCHARGE.PRG","4646","todo","",""
"MPCHARGE","Billing / card & e-check","fustatusret","FUNCTION","MPCHARGE.PRG","4672","todo","",""
"MPCHARGE","Billing / card & e-check","ALLCOASTMOPRIOR","FUNCTION","MPCHARGE.PRG","4748","todo","",""
"MPCHARGE","Billing / card & e-check","UPDPRIOR","FUNCTION","MPCHARGE.PRG","4793","todo","",""
